building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE1.5_bill
331895,high,13235.114,6566.87379574,6071.32121758,7104.68268858,6547.0255787,7002.2634735999745,6664.769713799969,6317.537744500028,5980.523084300055,6335.949767199968,5669.364059100005,5332.5197704999955,4984.920868300007,4647.599075899959,5003.231260899983,4318.582568,3981.285369499998
322481,low,4817.907,2107.2133319899995,1926.8269866900002,2597.26817728,2360.00164292,2561.224671999968,2437.78000889998,2310.7610317000244,2187.500931000006,2328.773357899998,2096.234928599987,1973.011955299999,1845.8808263000064,1722.4960705999963,1863.8443647000217,1613.4155952000033,1490.0459564999883
369590,medium,10825.736,5276.94821624,4936.71778552,5843.906889600002,5441.17267294,5750.5468990000045,5473.386549700025,5188.218910699955,4911.411694900016,5262.200832799986,4773.634792200013,4497.005912699973,4211.507303599996,3934.50166379996,4285.447587600029,3723.163313100009,3446.155597600013
65642,low,7694.333,3642.6929085599995,3277.4170116100004,4177.24607254,3754.46652052,4123.832129200024,3925.066158100004,3720.5652774000137,3522.0432515999933,3669.2325939000384,3214.4476474999815,3016.0767750999935,2811.3118620000296,2612.6696196000103,2759.946120799982,2356.7243763999973,2158.0712843000088
124701,medium,1123.555,477.6906437999999,715.33182335,620.18342276,842.7805352599999,615.936480600003,586.2517520000061,555.7039468999914,526.0444453000142,857.6132621999889,1099.2569035999998,1069.6271800000045,1039.0365691999905,1009.3651671000126,1340.9425223000032,1280.7136496000026,1251.0419486999897
267315,high,2615.8269999999998,1112.1450073199999,1273.39678319,1392.70145054,1519.36142982,1370.6599460000405,1304.6047255000317,1236.6372048000433,1170.686269399988,1505.0228967000014,1639.3428317000005,1573.3995394999902,1505.386747400018,1439.340366399996,1773.7370668000199,1639.72090940002,1573.7033170999944
214367,medium,5705.639,2578.2365027799997,2562.9609346300003,3061.26000446,2988.7676210399995,3018.426077799947,2872.943431600018,2723.264170800012,2577.9984320999974,2918.516852999996,2818.4974340000053,2673.2890833999986,2523.462728700013,2378.050047899992,2718.6626048000026,2423.5337635000033,2278.1408231000037
41129,high,614.428,261.23020848,524.9335991600001,330.08380639,585.6626076299999,327.3749220000124,311.59699139999015,295.3625446000075,279.6052777999998,610.0739330000047,892.7543631999996,877.0079801999971,860.755292800005,844.9831006000004,1175.4589842000041,1143.4526853999969,1127.6821115999992
117570,low,6659.792,3090.01343623,2791.2865749400003,3587.9635312399996,3231.9932182800003,3534.82220639998,3364.4595142000035,3189.1702617000533,3019.0183546999874,3163.9564339999915,2792.947721800006,2622.909702700028,2447.4190655,2277.137915899992,2422.1773859000077,2076.5485388999787,1906.2733434999898
272116,low,1477.924,628.3541678400001,626.02787828,802.2563379899999,780.3148549699998,793.5201612000062,755.2664932000082,715.9158949000054,677.7208087000072,812.3975708000114,831.2419491999954,793.0682942999981,753.6673952999986,715.4480341000017,850.1386712999947,772.5514423000013,734.3266436999987
